# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.1 Build 917 02/14/2023 SC Lite Edition
# File: C:\Users\UTAH\Desktop\final\output_files\finalproject.csv
# Generated on: Thu Dec  4 17:03:07 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLK,Input,PIN_P11,3,B3_N0,PIN_P11,3.3-V LVTTL,,,,,
COLS[3],Output,PIN_Y7,3,B3_N0,PIN_Y7,3.3-V LVTTL,,,,,
COLS[2],Output,PIN_Y8,3,B3_N0,PIN_Y8,3.3-V LVTTL,,,,,
COLS[1],Output,PIN_AA10,3,B3_N0,PIN_AA10,3.3-V LVTTL,,,,,
COLS[0],Output,PIN_W11,4,B4_N0,PIN_W11,3.3-V LVTTL,,,,,
DBG[7],Output,PIN_W7,3,B3_N0,PIN_W7,3.3-V LVTTL,,,,,
DBG[6],Output,PIN_W8,3,B3_N0,PIN_W8,3.3-V LVTTL,,,,,
DBG[5],Output,PIN_W9,3,B3_N0,PIN_W9,3.3-V LVTTL,,,,,
DBG[4],Output,PIN_W10,3,B3_N0,PIN_W10,3.3-V LVTTL,,,,,
DBG[3],Output,PIN_V7,3,B3_N0,PIN_V7,3.3-V LVTTL,,,,,
DBG[2],Output,PIN_V8,3,B3_N0,PIN_V8,3.3-V LVTTL,,,,,
DBG[1],Output,PIN_V9,3,B3_N0,PIN_V9,3.3-V LVTTL,,,,,
DBG[0],Output,PIN_V10,3,B3_N0,PIN_V10,3.3-V LVTTL,,,,,
HEX0[7],Output,PIN_D15,7,B7_N0,PIN_D15,3.3-V LVTTL,,,,,
HEX0[6],Output,PIN_C17,7,B7_N0,PIN_C17,3.3-V LVTTL,,,,,
HEX0[5],Output,PIN_D17,7,B7_N0,PIN_D17,3.3-V LVTTL,,,,,
HEX0[4],Output,PIN_E16,7,B7_N0,PIN_E16,3.3-V LVTTL,,,,,
HEX0[3],Output,PIN_C16,7,B7_N0,PIN_C16,3.3-V LVTTL,,,,,
HEX0[2],Output,PIN_C15,7,B7_N0,PIN_C15,3.3-V LVTTL,,,,,
HEX0[1],Output,PIN_E15,7,B7_N0,PIN_E15,3.3-V LVTTL,,,,,
HEX0[0],Output,PIN_C14,7,B7_N0,PIN_C14,3.3-V LVTTL,,,,,
HEX1[7],Output,PIN_A16,7,B7_N0,PIN_A16,3.3-V LVTTL,,,,,
HEX1[6],Output,PIN_B17,7,B7_N0,PIN_B17,3.3-V LVTTL,,,,,
HEX1[5],Output,PIN_A18,7,B7_N0,PIN_A18,3.3-V LVTTL,,,,,
HEX1[4],Output,PIN_A17,7,B7_N0,PIN_A17,3.3-V LVTTL,,,,,
HEX1[3],Output,PIN_B16,7,B7_N0,PIN_B16,3.3-V LVTTL,,,,,
HEX1[2],Output,PIN_E18,6,B6_N0,PIN_E18,3.3-V LVTTL,,,,,
HEX1[1],Output,PIN_D18,6,B6_N0,PIN_D18,3.3-V LVTTL,,,,,
HEX1[0],Output,PIN_C18,7,B7_N0,PIN_C18,3.3-V LVTTL,,,,,
HEX2[7],Output,PIN_A19,7,B7_N0,PIN_A19,3.3-V LVTTL,,,,,
HEX2[6],Output,PIN_B22,6,B6_N0,PIN_B22,3.3-V LVTTL,,,,,
HEX2[5],Output,PIN_C22,6,B6_N0,PIN_C22,3.3-V LVTTL,,,,,
HEX2[4],Output,PIN_B21,6,B6_N0,PIN_B21,3.3-V LVTTL,,,,,
HEX2[3],Output,PIN_A21,6,B6_N0,PIN_A21,3.3-V LVTTL,,,,,
HEX2[2],Output,PIN_B19,7,B7_N0,PIN_B19,3.3-V LVTTL,,,,,
HEX2[1],Output,PIN_A20,7,B7_N0,PIN_A20,3.3-V LVTTL,,,,,
HEX2[0],Output,PIN_B20,6,B6_N0,PIN_B20,3.3-V LVTTL,,,,,
LEDS[9],Output,PIN_B11,7,B7_N0,PIN_B11,3.3-V LVTTL,,,,,
